研发中心机房冷通道A    172.28.198.4
研发中心_1楼_2    172.28.161.222
研发中心_18楼东门禁    172.28.195.246
研发中心_13楼东    172.28.185.221
研发6楼平板车间门禁    172.28.171.223
研发三楼东实验室内门禁    172.28.169.224
研发三楼东实验室大门门禁    172.28.169.223
研发三楼西侧影像实验室门禁    172.28.169.240
研发中心_18楼西    172.28.195.221
13楼东侧OTA实验室    172.28.185.223
研发中心_13楼西    172.28.185.222
17_18楼门禁    172.28.193.226
研发14楼门禁    172.28.187.245
研发四楼东侧拉线    172.28.169.226
研发中心17楼门禁    172.28.192.226
研发楼中心机房    172.28.205.227
研发中心食堂    172.28.160.221
研发中心_1楼    172.28.161.221
研发中心_18楼东    172.28.195.222
研发中心_17楼西    172.28.192.221
研发中心_17楼东    172.28.192.222
研发中心_16楼东    172.28.190.222
研发中心_16楼西    172.28.190.221
研发中心_15楼东    172.28.188.222
研发中心_15楼西    172.28.188.221
研发中心_14楼西    172.28.186.221
研发中心_14楼东    172.28.186.222
研发中心_12楼东    172.28.182.222
研发中心_11楼东    172.28.180.222
研发中心_11楼西    172.28.180.221
研发中心_19楼东    172.28.196.222
研发中心_19楼西    172.28.196.221
研发中心_12楼西    172.28.182.221
研发中心_2楼东    172.28.162.222
研发中心_2楼西    172.28.162.221
研发中心机房冷通道B    172.28.198.5
厂区一楼工程部夹具房门禁    172.28.5.251
厂区行政三楼综合办公室门禁    172.28.7.246
IQM实验室门禁    172.28.5.247
厂区3F保修车间考勤    172.28.19.251
厂区二楼办公室实验室门禁    172.28.5.237
型式试验中心    172.28.5.250
厂区可靠性实验室    172.28.5.235
厂区老车间1号门_68    172.28.5.240
厂区老车间1号门_66    172.28.5.241
厂区仓库门禁_201    172.28.5.234
厂区仓库门禁_96    172.28.5.233
厂区实验室楼道_60    172.28.5.232
厂区仓库1号门_69    172.28.27.237
厂区仓库门禁_95    172.28.5.225
厂区大门口_99    172.28.5.228
厂区二楼前台下_57    172.28.5.227
厂区新厂房三楼_63    172.28.7.237
厂区新厂房二楼_64    172.28.5.239
厂区新厂房二楼_62    172.28.5.238
厂区新厂房三楼_55    172.28.7.236
厂区新厂房二楼_67    172.28.5.236
厂区审计旁_54    172.28.5.226
新成品仓考勤    172.28.32.222
新成品仓门禁    172.28.32.221
深圳办事处    192.168.100.220
